SL. NO,EQUIPMENT TAG,EQUIPMENT LOCATION,AREA SERVED,APPLICATION,CAPACITY (CMH / TR),STATIC PRESSURE IN MM / HEAD IN M,EQUIPMENT TYPE,MODEL NO.,POWER INPUT IN KW,QUANTITY,V-PH-Hz,WORKING / STANDBY,PHASE,STARTER TYPE
1,CHILLER-1,CHILLER PLANT ROOM,ENTIRE PLANT,CHILLED WATER PRODUCTION,600,-,WATER-COOLED CENTRIFUGAL CHILLER,YKDGDHQ75COF-SS,360,1,415V-3Ph-50Hz,WORKING,PHASE-1,DIRECT FEEDER
2,CHILLER-2,CHILLER PLANT ROOM,ENTIRE PLANT,CHILLED WATER PRODUCTION,600,-,WATER-COOLED CENTRIFUGAL CHILLER,YKDGDHQ75COF-SS,360,1,415V-3Ph-50Hz,WORKING,PHASE-1,DIRECT FEEDER
3,CHILLER-3,CHILLER PLANT ROOM,ENTIRE PLANT,CHILLED WATER PRODUCTION,600,-,WATER-COOLED CENTRIFUGAL CHILLER,YKDGDHQ75COF-VSD,360,1,415V-3Ph-50Hz,WORKING,PHASE-2,DIRECT FEEDER
4,CHILLER-4,CHILLER PLANT ROOM,ENTIRE PLANT,CHILLED WATER PRODUCTION,600,-,WATER-COOLED CENTRIFUGAL CHILLER,YKDGDHQ75COF-VSD,360,1,415V-3Ph-50Hz,WORKING,PHASE-2,DIRECT FEEDER
5,CHILLER-5,CHILLER PLANT ROOM,ENTIRE PLANT,CHILLED WATER PRODUCTION,284,-,AIR-COOLED SCREW CHILLER,YGAS300,380,1,415V-3Ph-50Hz,WORKING,PHASE-1,DIRECT FEEDER
6,CHILLER-6,CHILLER PLANT ROOM,ENTIRE PLANT,CHILLED WATER PRODUCTION,284,-,AIR-COOLED SCREW CHILLER,YGAS300,380,1,415V-3Ph-50Hz,WORKING,PHASE-1,DIRECT FEEDER
7,CHILLER-7,CHILLER PLANT ROOM,ENTIRE PLANT,CHILLED WATER PRODUCTION,284,-,AIR-COOLED SCREW CHILLER,YGAS300,380,1,415V-3Ph-50Hz,WORKING,PHASE-2,DIRECT FEEDER
8,CHILLER-8,CHILLER PLANT ROOM,ENTIRE PLANT,CHILLED WATER PRODUCTION,284,-,AIR-COOLED SCREW CHILLER,YGAS300,380,1,415V-3Ph-50Hz,WORKING,PHASE-2,DIRECT FEEDER
9,CHWP-1,CHILLER PLANT ROOM,ENTIRE PLANT,PRIMARY CHILLED WATER PUMP,328,20,LONG-COUPLED CENTRIFUGAL PUMP,NK-,30,1,415V-3Ph-50Hz,WORKING,PHASE-1,VFD STARTER
10,CHWP-2,CHILLER PLANT ROOM,ENTIRE PLANT,PRIMARY CHILLED WATER PUMP,328,20,LONG-COUPLED CENTRIFUGAL PUMP,NK-,30,1,415V-3Ph-50Hz,WORKING,PHASE-1,VFD STARTER
11,CHWP-3,CHILLER PLANT ROOM,ENTIRE PLANT,PRIMARY CHILLED WATER PUMP,328,20,LONG-COUPLED CENTRIFUGAL PUMP,NK-,30,1,415V-3Ph-50Hz,STANDBY,PHASE-1,VFD STARTER
