Name,Level,Rooms,Tandem Category,Classification,Category Name,GUID,Source File,System Class,Temperature (°F),Location,Warranty Start Date,Type of Lighting System,Humidity (%RH),Systems,Comments,Edited by,Eqpt Ref,Equipment No.,Equipment Tag,Image,Mark,Type Name,Workset,Elevation from Level (mm),Host,Level,Offset from Host (mm),CHW Dia (mm),Return Water Diameter (mm),Return Water Radius (mm),Supply Water Diameter (mm),Supply Water Radius (mm),ElementId,A Class PBS,AI_LBS Code,AI_SBS Code,ASSET INSTANCE,Asset_Tag,BUILDING SUFFIX,Functional Unit,Location Group,Lvl1 Comp PBS,Lvl3 Comp PBS Desc,Lvl3 Comp PBS,Primary Functional Unit,Sub Functional Unit,Circuit Number,Panel,Eqpt Load (VA),Load (VA),Motor Speed,Number of Poles,V/P/H,Voltage (V),Export to IFC As,Export to IFC,IFC Predefined Type,IfcGUID,Air Flow (L/s),CHW Flow (L/s),Critical Path,Sensible Cooling Capacity (W),Total Cooling Capacity (W),CHW Entering Temp (°C),CHW Leaving Temp (°C),Cooling Coil Water Pressure Drop (Pa),Drain Flow (L/s),EDB Temperature (°C),EWB Temperature (°C),External Static Pressure (Pa),FAN SPEED,HEAD (Pa),LDB Temperature (°C),LWB Temperature (°C),Power (W),System Classification,System Name,Network_Zone,Speed,view name,View Scale Visibility,FLUID,Heater Stages,SERVICE,TYPE,,
slot return diffuser_new,2nd FLOOR - L02,LIV / DIN 15693,M.Du.Te,,Air Terminals,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e15,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,,,,,,,,,,,,,,3081,2 slot return diffuser,ME_ AC & Chilled Water Apartment,2600,Level : 2nd FLOOR - L02,2nd FLOOR - L02,2600,,,,,,19475989,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4lL,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4V
slot return diffuser_new,2nd FLOOR - L02,CORR. 15045,M.Du.Te,,Air Terminals,ad6e386a-85a5-4f81-8a5d-3ce308a09af7-0124a7d4,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,,,,,,,,,,,,,,2942,2 slot return diffuser,ME_Chilled Water,2600,Level : 2nd FLOOR - L02,2nd FLOOR - L02,2600,,,,,,19179476,,,,,,,,,,,,,,,,,,,,,,,By Type,,2jRZXgXQLFWOfTFEC9X3qZ,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAK1uOGqFpU-Bil084wigmvcBJKfU
slot return diffuser(500L),2nd FLOOR - L02,CLOSET 15156,M.Du.Te,,Air Terminals,ad6e386a-85a5-4f81-8a5d-3ce308a09af7-0124a7a6,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,,,,,,,,,,,,,,2926,2 slot return diffuser,ME_Chilled Water,2600,Level : 2nd FLOOR - L02,2nd FLOOR - L02,2600,,,,,,19179430,,,,,,,,,,,,,,,,,,,,,,,By Type,,2jRZXgXQLFWOfTFEC9X3rH,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAK1uOGqFpU-Bil084wigmvcBJKem
slot return diffuser(500L),2nd FLOOR - L02,M.BEDRM 15698,M.Du.Te,,Air Terminals,0a4b5ef5-db92-4350-afed-99df31c965c0-01292df5,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,,,,,,,,,,,,,,3070,2 slot return diffuser,ME_ AC & Chilled Water Apartment,2600,Level : 2nd FLOOR - L02,2nd FLOOR - L02,2600,,,,,,19475957,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4Wr,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS31
slot exhaust diffuser(1000),2nd FLOOR - L02,KITCHEN 15042,M.Du.Te,,Air Terminals,9354db5d-ada3-42d2-8560-b64f0139ccef-0124c890,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,2954,2 slot return diffuser,ME_Ventilation Apartment,2600,Level : 2nd FLOOR - L02,2nd FLOOR - L02,2600,,,,,,19187856,,,,,,,,,,,,,,,,,,,,,,,By Type,,2JLDjThQD2qeLWjay07GH$,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAJNU212to0LShWC2TwE5zO8BJMiQ
slot exhaust diffuser(1000),2nd FLOOR - L02,LIV / DIN 15693,M.Du.Te,,Air Terminals,0a4b5ef5-db92-4350-afed-99df31c965c0-01292ef7,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,3093,2 slot return diffuser,ME_ AC & Chilled Water Apartment,2600,Level : 2nd FLOOR - L02,2nd FLOOR - L02,2600,,,,,,19476215,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4it,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS73
slot 1 connector diffuser (1000),2nd FLOOR - L02,LIV / DIN 15693,M.Du.Te,,Air Terminals,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e29,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,3086,2 slot supply diffuser,ME_ AC & Chilled Water Apartment,2600,Level : 2nd FLOOR - L02,2nd FLOOR - L02,2600,,,,,,19476009,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4lf,,,,,,,,,,,,,,,,,,Supply Air,SAD 10,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4p
slot 1 connector diffuser (1000),2nd FLOOR - L02,CORR. 15045,M.Du.Te,,Air Terminals,ad6e386a-85a5-4f81-8a5d-3ce308a09af7-0124a7e8,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,2947,2 slot supply diffuser,ME_Chilled Water,2600,Level : 2nd FLOOR - L02,2nd FLOOR - L02,2600,,,,,,19179496,,,,,,,,,,,,,,,,,,,,,,,By Type,,2jRZXgXQLFWOfTFEC9X3qV,,,,,,,,,,,,,,,,,,Supply Air,SAD 48,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAK1uOGqFpU-Bil084wigmvcBJKfo
WL-01,,,E.LF,,Lighting Fixtures,0a4b5ef5-db92-4350-afed-99df31c965c0-0129315e,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,,,,,,,,,,,,,,53,WL-01,ELE,0,,,-97.1,,,,,,19476830,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu5IU,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKTFe
WL-01,,,E.LF,,Lighting Fixtures,58381236-6583-4381-becd-1c8289f202ec-0127e387,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,,,,,,,,,,,,,,5273,WL-01,ELE,0,,,-97.1,,,,,,19391367,,,,,,,,,,,,,,,,,,,,,,,By Type,,1OE18sPOD3WRxD78A8rU5h,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAFg4EjZlg0OBvs0cgonyAuwBJ-OH
